msa,status,n_taxa,n_realA,n_realB,n_inherited,n_inhA,n_inhB,O_A,O_B,merged_taxa,taxa_ok,loglik,rf_true,nrf_true,n_common,faith_a,faith_b,faithful,ll_score,ll_raxml,ll_diff,raxml_agree,raxml_err,mode,seed,budget,time_sec,error
random_tree_266,ok,200,95,85,20,10,10,T153,T54,200,1,-124871.5383,16,0.0406,200,0,0,1,-124871.5383,-124871.5383,0.0,1,,ml,42,0,35.36,
random_tree_267,ok,200,71,109,20,8,12,T139,T98,200,1,-119200.0225,20,0.0508,200,0,0,1,-119200.0225,-119200.0225,0.0,1,,ml,42,0,37.01,
random_tree_268,ok,200,83,97,20,9,11,T129,T161,200,1,-110443.7076,16,0.0406,200,0,0,1,-110443.7076,-110443.7076,0.0,1,,ml,42,0,31.65,
random_tree_269,ok,200,77,103,20,8,12,T198,T76,200,1,-116950.6334,22,0.0558,200,0,0,1,-116950.6334,-116950.6334,0.0,1,,ml,42,0,33.76,
random_tree_270,ok,200,111,69,20,12,8,T73,T25,200,1,-109742.552,28,0.0711,200,0,0,1,-109742.552,-109742.552,0.0,1,,ml,42,0,34.72,
random_tree_028,ok,200,95,85,20,11,9,T144,T82,200,1,-121580.9577,32,0.0812,200,0,0,1,-121580.9577,-121580.9577,0.0,1,,ml,42,0,77.32,
random_tree_271,ok,200,74,106,20,8,12,T147,T9,200,1,-112491.0453,30,0.0761,200,0,0,1,-112491.0453,-112491.0453,0.0,1,,ml,42,0,34.41,
random_tree_272,ok,200,86,94,20,10,10,T32,T60,200,1,-112132.8268,16,0.0406,200,0,0,1,-112132.8268,-112132.8268,0.0,1,,ml,42,0,33.19,
random_tree_273,ok,200,83,97,20,9,11,T121,T169,200,1,-113874.4775,22,0.0558,200,0,0,1,-113874.4775,-113874.4775,0.0,1,,ml,42,0,31.09,
random_tree_274,ok,200,86,94,20,10,10,T39,T59,200,1,-112330.2601,40,0.1015,200,0,0,1,-112330.2601,-112330.2601,0.0,1,,ml,42,0,31.84,
random_tree_275,ok,200,86,94,20,10,10,T29,T61,200,1,-116478.3134,20,0.0508,200,0,0,1,-116478.3134,-116478.3134,0.0,1,,ml,42,0,32.45,
random_tree_276,ok,200,93,87,20,10,10,T153,T52,200,1,-122603.622,26,0.066,200,0,0,1,-122603.622,-122603.622,0.0,1,,ml,42,0,35.54,
random_tree_277,ok,200,109,71,20,12,8,T6,T29,200,1,-118574.9009,20,0.0508,200,0,0,1,-118574.9009,-118574.9009,0.0,1,,ml,42,0,35.31,
random_tree_278,ok,200,70,110,20,8,12,T144,T99,200,1,-118277.9654,26,0.066,200,0,0,1,-118277.9654,-118277.9654,0.0,1,,ml,42,0,37.76,
random_tree_279,ok,200,101,79,20,11,9,T160,T49,200,1,-116319.1777,20,0.0508,200,0,0,1,-116319.1777,-116319.1777,0.0,1,,ml,42,0,37.23,
random_tree_280,ok,200,75,105,20,8,12,T148,T89,200,1,-115331.9773,24,0.0609,200,0,0,1,-115331.9773,-115331.9773,0.0,1,,ml,42,0,36.06,
random_tree_029,ok,200,82,98,20,9,11,T128,T169,200,1,-114756.3904,36,0.0914,200,0,0,1,-114756.3904,-114756.3904,0.0,1,,ml,42,0,70.81,
random_tree_281,ok,200,70,110,20,8,12,T144,T99,200,1,-124209.9231,22,0.0558,200,0,0,1,-124209.9231,-124209.9231,0.0,1,,ml,42,0,35.98,
random_tree_282,ok,200,94,86,20,10,10,T152,T52,200,1,-120697.8857,20,0.0508,200,0,0,1,-120697.8857,-120697.8857,0.0,1,,ml,42,0,35.37,
random_tree_283,ok,200,78,102,20,9,11,T81,T187,200,1,-120802.4746,20,0.0508,200,0,0,1,-120802.4746,-120802.4746,0.0,1,,ml,42,0,39.7,
random_tree_284,ok,200,77,103,20,9,11,T200,T71,200,1,-123158.7577,16,0.0406,200,0,0,1,-123158.7577,-123158.7577,0.0,1,,ml,42,0,35.07,
random_tree_285,ok,200,74,106,20,8,12,T153,T90,200,1,-115566.6088,20,0.0508,200,0,0,1,-115566.6088,-115566.6088,0.0,1,,ml,42,0,36.59,
random_tree_286,ok,200,90,90,20,10,10,T44,T51,200,1,-115857.5128,20,0.0508,200,0,0,1,-115857.5128,-115857.5128,0.0,1,,ml,42,0,30.75,
random_tree_287,ok,200,71,109,20,8,12,T145,T95,200,1,-119949.0342,12,0.0305,200,0,0,1,-119949.0342,-119949.0342,0.0,1,,ml,42,0,38.41,
random_tree_288,ok,200,97,83,20,11,9,T130,T75,200,1,-123917.914,32,0.0812,200,0,0,1,-123917.914,-123917.914,0.0,1,,ml,42,0,38.36,
random_tree_289,ok,200,67,113,20,7,13,T136,T77,200,1,-120001.3356,12,0.0305,200,0,0,1,-120001.3356,-120001.3356,0.0,1,,ml,42,0,33.95,
random_tree_290,ok,200,77,103,20,8,12,T199,T79,200,1,-114760.0213,28,0.0711,200,0,0,1,-114760.0213,-114760.0213,0.0,1,,ml,42,0,38.52,
random_tree_030,ok,200,72,108,20,8,12,T141,T93,200,1,-122819.6236,14,0.0355,200,0,0,1,-122819.6236,-122819.6236,0.0,1,,ml,42,0,79.0,
random_tree_291,ok,200,91,89,20,10,10,T170,T33,200,1,-111229.5295,22,0.0558,200,0,0,1,-111229.5295,-111229.5295,0.0,1,,ml,42,0,31.88,
random_tree_292,ok,200,87,93,20,10,10,T30,T63,200,1,-114229.9525,12,0.0305,200,0,0,1,-114229.9525,-114229.9525,0.0,1,,ml,42,0,34.45,
random_tree_293,ok,200,92,88,20,10,10,T160,T57,200,1,-108104.8989,18,0.0457,200,0,0,1,-108104.8989,-108104.8989,0.0,1,,ml,42,0,35.39,
random_tree_294,ok,200,79,101,20,9,11,T81,T19,200,1,-121684.451,14,0.0355,200,0,0,1,-121684.451,-121684.451,0.0,1,,ml,42,0,36.58,
random_tree_295,ok,200,69,111,20,8,12,T13,T81,200,1,-110972.8623,16,0.0406,200,0,0,1,-110972.8623,-110972.8623,0.0,1,,ml,42,0,36.59,
random_tree_296,ok,200,79,101,20,9,11,T72,T200,200,1,-113255.985,18,0.0457,200,0,0,1,-113255.985,-113255.985,0.0,1,,ml,42,0,36.84,
random_tree_297,ok,200,86,94,20,10,10,T32,T59,200,1,-115999.141,14,0.0355,200,0,0,1,-115999.141,-115999.141,0.0,1,,ml,42,0,35.97,
random_tree_298,ok,200,99,81,20,11,9,T114,T96,200,1,-115300.9448,22,0.0558,200,0,0,1,-115300.9448,-115300.9448,0.0,1,,ml,42,0,34.49,
random_tree_299,ok,200,99,81,20,11,9,T114,T96,200,1,-115300.9448,22,0.0558,200,0,0,1,-115300.9448,-115300.9448,0.0,1,,ml,42,0,34.25,
random_tree_300,ok,200,85,95,20,9,11,T129,T165,200,1,-115944.6017,36,0.0914,200,0,0,1,-115944.6017,-115944.6017,0.0,1,,ml,42,0,36.7,
random_tree_004,ok,200,95,85,20,10,10,T165,T5,200,1,-115445.4632,30,0.0761,200,0,0,1,-115445.4632,-115445.4632,0.0,1,,ml,42,0,62.51,
random_tree_031,ok,200,90,90,20,10,10,T45,T46,200,1,-116325.6614,20,0.0508,200,0,0,1,-116325.6614,-116325.6614,0.0,1,,ml,42,0,73.79,
random_tree_301,ok,200,109,71,20,12,8,T68,T198,200,1,-116689.5368,16,0.0406,200,0,0,1,-116689.5368,-116689.5368,0.0,1,,ml,42,0,33.18,
random_tree_302,ok,200,70,110,20,8,12,T15,T99,200,1,-120259.0436,28,0.0711,200,0,0,1,-120259.0436,-120259.0436,0.0,1,,ml,42,0,35.88,
